               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10238,              0.0449,              0.0257,             0.35976,               0.311,             0.27344,            0.087521,            0.079115,            0.036645,            0.021309,            0.070652,           0.0032609,           0.0032609
                   1,            0.074778,             0.04233,            0.014321,             0.29658,              0.6482,             0.40686,             0.16275,            0.070224,            0.030723,           0.0099165,            0.040326,           0.0062678,           0.0062678
                   2,            0.072382,            0.034253,           0.0079527,             0.31352,             0.46905,             0.33387,             0.10775,            0.083376,            0.023462,           0.0050426,           0.0096693,           0.0089447,           0.0089447
                   3,             0.07102,            0.032797,           0.0055501,              0.4212,             0.64417,             0.44999,             0.20768,            0.066547,            0.024773,           0.0044452,            0.008515,            0.008515,            0.008515
                   4,             0.06241,            0.030416,           0.0046688,             0.68976,             0.61662,             0.67306,             0.30007,            0.059671,            0.023062,           0.0033151,            0.008515,            0.008515,            0.008515
                   5,            0.057375,            0.029732,           0.0037747,             0.52254,               0.735,             0.58582,             0.25186,            0.053807,            0.022285,            0.002336,             0.00802,             0.00802,             0.00802
                   6,            0.050858,            0.029347,           0.0030104,             0.75242,             0.72833,             0.72264,             0.26215,            0.055998,            0.020954,           0.0019202,            0.007525,            0.007525,            0.007525
                   7,            0.047941,            0.027716,           0.0030464,             0.80719,             0.86249,             0.84578,             0.44235,            0.046846,            0.020473,           0.0016791,             0.00703,             0.00703,             0.00703
                   8,            0.044647,            0.024958,           0.0029945,              0.8847,              0.8825,             0.90581,             0.48157,            0.045515,            0.020039,           0.0017788,            0.006535,            0.006535,            0.006535
                   9,            0.042994,            0.026596,           0.0025721,             0.85026,             0.82859,             0.86443,             0.48182,            0.046574,            0.019508,           0.0016201,             0.00604,             0.00604,             0.00604
                  10,             0.04106,            0.026097,           0.0023204,             0.97547,             0.90715,             0.94703,             0.55512,            0.037021,            0.019329,           0.0014272,            0.005545,            0.005545,            0.005545
                  11,            0.037724,             0.02578,           0.0020311,             0.96644,             0.91417,             0.94815,             0.57065,            0.035962,             0.01877,           0.0012539,             0.00505,             0.00505,             0.00505
                  12,            0.037012,            0.024772,            0.001932,             0.96407,             0.93917,             0.94771,             0.56688,            0.036063,            0.018574,           0.0010679,            0.004555,            0.004555,            0.004555
                  13,            0.035902,            0.024275,           0.0017597,             0.91602,              0.9325,             0.94237,             0.56444,            0.035697,            0.018538,          0.00098068,             0.00406,             0.00406,             0.00406
                  14,            0.033772,            0.023473,           0.0014912,             0.94464,             0.92249,             0.94842,             0.59824,            0.034068,            0.018833,          0.00092239,            0.003565,            0.003565,            0.003565
                  15,            0.033104,            0.024261,           0.0011344,             0.95647,             0.93917,             0.95143,             0.62809,            0.031244,              0.0181,          0.00079465,             0.00307,             0.00307,             0.00307
                  16,            0.031507,            0.022625,           0.0011605,              0.9682,             0.93459,             0.95314,             0.62619,            0.031878,            0.018312,           0.0007445,            0.002575,            0.002575,            0.002575
                  17,             0.03122,            0.022135,           0.0012325,             0.94391,             0.94333,             0.95168,             0.61715,            0.030721,            0.018366,          0.00068673,             0.00208,             0.00208,             0.00208
                  18,            0.030466,            0.023483,           0.0011792,             0.94801,             0.93917,             0.95325,             0.62202,            0.030144,            0.018204,          0.00061674,            0.001585,            0.001585,            0.001585
                  19,            0.029005,            0.022019,            0.001058,             0.95624,             0.93534,             0.95269,             0.62842,            0.029208,            0.018122,          0.00059783,             0.00109,             0.00109,             0.00109
